codigo,nombre,tipo,nivel,padre_codigo,descripcion,estado,es_debito,registra_tercero
12055501,Actividades Inmobiliarias- Empresariales Y De Alquiler ,activo,5,120555,,1,1,1
120560,ENSEnANZA ,activo,4,1205,,1,1,0
12056001,Ensenanza ,activo,5,120560,,1,1,1
120565,SERVICIOS SOCIALES Y DE SALUD ,activo,4,1205,,1,1,0
12056501,Servicios Sociales Y De Salud ,activo,5,120565,,1,1,1
120570,OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS- SOCIALES Y PERSONALES ,activo,4,1205,,1,1,0
12057001,Otras Actividades De Servicios Comunitarios- Sociales Y Personales ,activo,5,120570,,1,1,1
120599,AJUSTES POR INFLACION ,activo,4,1205,,1,1,0
12059901,Ajustes Por Inflacion ,activo,5,120599,,1,1,1
1210,CUOTAS O PARTES DE INTERES SOCIAL ,activo,3,12,Inversiones en acciones o participaciones. Nat. Debito Forma de Uso. Registra inversiones que generan rendimientos variables.,1,1,0
121005,AGRICULTURA- GANADERIA- CAZA Y SILVICULTURA ,activo,4,1210,,1,1,0
12100501,Agricultura- Ganaderia- Caza Y Silvicultura ,activo,5,121005,,1,1,1
121010,PESCA ,activo,4,1210,,1,1,0
12101001,Pesca ,activo,5,121010,,1,1,1
121015,EXPLOTACION DE MINAS Y CANTERAS ,activo,4,1210,,1,1,0
12101501,Explotacion De Minas Y Canteras ,activo,5,121015,,1,1,1
121020,INDUSTRIA MANUFACTURERA ,activo,4,1210,,1,1,0
12102001,Industria Manufacturera ,activo,5,121020,,1,1,1
121025,SUMINISTRO DE ELECTRICIDAD- GAS Y AGUA ,activo,4,1210,,1,1,0
12102501,Suministro De Electricidad- Gas Y Agua ,activo,5,121025,,1,1,1
121030,CONSTRUCCION ,activo,4,1210,,1,1,0
12103001,Construccion ,activo,5,121030,,1,1,1
121035,COMERCIO AL POR MAYOR Y AL POR MENOR ,activo,4,1210,,1,1,0
12103501,Comercio Al Por Mayor Y Al Por Menor ,activo,5,121035,,1,1,1
121040,HOTELES Y RESTAURANTES ,activo,4,1210,,1,1,0
12104001,Hoteles Y Restaurantes ,activo,5,121040,,1,1,1
121045,TRANSPORTE- ALMACENAMIENTO Y COMUNICACIONES ,activo,4,1210,,1,1,0
12104501,Transporte- Almacenamiento Y Comunicaciones ,activo,5,121045,,1,1,1
121050,ACTIVIDAD FINANCIERA ,activo,4,1210,,1,1,0
12105001,Actividad Financiera ,activo,5,121050,,1,1,1
121055,ACTIVIDADES INMOBILIARIAS- EMPRESARIALES Y DE ALQUILER ,activo,4,1210,,1,1,0
12105501,Actividades Inmobiliarias- Empresariales Y De Alquiler ,activo,5,121055,,1,1,1
121060,ENSEnANZA ,activo,4,1210,,1,1,0
12106001,Ensenanza ,activo,5,121060,,1,1,1
121065,SERVICIOS SOCIALES Y DE SALUD ,activo,4,1210,,1,1,0
12106501,Servicios Sociales Y De Salud ,activo,5,121065,,1,1,1
121070,OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS- SOCIALES Y PERSONALES ,activo,4,1210,,1,1,0
12107001,Otras Actividades De Servicios Comunitarios- Sociales Y Personales ,activo,5,121070,,1,1,1
121099,AJUSTES POR INFLACION ,activo,4,1210,,1,1,0
12109901,Ajustes Por Inflacion ,activo,5,121099,,1,1,1
1215,BONOS ,activo,3,12,,1,1,0
121505,BONOS PUBLICOS MONEDA NACIONAL ,activo,4,1215,,1,1,0
12150501,Bonos Publicos Moneda Nacional ,activo,5,121505,,1,1,1
121510,BONOS PUBLICOS MONEDA EXTRANJERA ,activo,4,1215,,1,1,0
12151001,Bonos Publicos Moneda Extranjera ,activo,5,121510,,1,1,1
121515,BONOS ORDINARIOS ,activo,4,1215,,1,1,0
12151501,Bonos Ordinarios ,activo,5,121515,,1,1,1
121520,BONOS CONVERTIBLES EN ACCIONES ,activo,4,1215,,1,1,0
12152001,Bonos Convertibles En Acciones ,activo,5,121520,,1,1,1
121595,OTROS ,activo,4,1215,,1,1,0
12159501,Otros ,activo,5,121595,,1,1,1
1220,CEDULAS ,activo,3,12,,1,1,0
122005,CEDULAS DE CAPITALIZACION ,activo,4,1220,,1,1,0
12200501,Cedulas De Capitalizacion ,activo,5,122005,,1,1,1
122010,CEDULAS HIPOTECARIAS ,activo,4,1220,,1,1,0
12201001,Cedulas Hipotecarias ,activo,5,122010,,1,1,1
122015,CEDULAS DE INVERSION ,activo,4,1220,,1,1,0
12201501,Cedulas De Inversion ,activo,5,122015,,1,1,1
122095,OTRAS ,activo,4,1220,,1,1,0
12209501,Otras ,activo,5,122095,,1,1,1
1225,CERTIFICADOS ,activo,3,12,,1,1,0
122505,CERTIFICADOS DE DEPOSITO A TERMINO (C.D.T.) ,activo,4,1225,,1,1,0
12250501,Certificados De Deposito A Termino (C.D.T.) ,activo,5,122505,,1,1,1
122510,CERTIFICADOS DE DEPOSITO DE AHORRO ,activo,4,1225,,1,1,0
12251001,Certificados De Deposito De Ahorro ,activo,5,122510,,1,1,1
122515,CERTIFICADOS DE AHORRO DE VALOR CONSTANTE (C.A.V.C.) ,activo,4,1225,,1,1,0
12251501,Certificados De Ahorro De Valor Constante (C.A.V.C.) ,activo,5,122515,,1,1,1
122520,CERTIFICADOS DE CAMBIO ,activo,4,1225,,1,1,0
12252001,Certificados De Cambio ,activo,5,122520,,1,1,1
122525,CERTIFICADOS CAFETEROS VALORIZABLES ,activo,4,1225,,1,1,0
12252501,Certificados Cafeteros Valorizables ,activo,5,122525,,1,1,1
122530,CERTIFICADOS ELECTRICOS VALORIZABLES (C.E.V.) ,activo,4,1225,,1,1,0
12253001,Certificados Electricos Valorizables (C.E.V.) ,activo,5,122530,,1,1,1
122535,CERTIFICADOS DE REEMBOLSO TRIBUTARIO (C.E.R.T.) ,activo,4,1225,,1,1,0
12253501,Certificados De Reembolso Tributario (C.E.R.T.) ,activo,5,122535,,1,1,1
122540,CERTIFICADOS DE DESARROLLO TURISTICO ,activo,4,1225,,1,1,0
12254001,Certificados De Desarrollo Turistico ,activo,5,122540,,1,1,1
122545,CERTIFICADOS DE INVERSION FORESTAL (C.I.F.) ,activo,4,1225,,1,1,0
12254501,Certificados De Inversion Forestal (C.I.F.) ,activo,5,122545,,1,1,1
122595,OTROS ,activo,4,1225,,1,1,0
12259501,Otros ,activo,5,122595,,1,1,1
1230,PAPELES COMERCIALES ,activo,3,12,,1,1,0
123005,EMPRESAS COMERCIALES ,activo,4,1230,,1,1,0
12300501,Empresas Comerciales ,activo,5,123005,,1,1,1
123010,EMPRESAS INDUSTRIALES ,activo,4,1230,,1,1,0
12301001,Empresas Industriales ,activo,5,123010,,1,1,1
123015,EMPRESAS DE SERVICIOS ,activo,4,1230,,1,1,0
12301501,Empresas De Servicios ,activo,5,123015,,1,1,1
1235,TITULOS ,activo,3,12,,1,1,0
123505,TITULOS DE DESARROLLO AGROPECUARIO ,activo,4,1235,,1,1,0
12350501,Titulos De Desarrollo Agropecuario ,activo,5,123505,,1,1,1
123510,TITULOS CANJEABLES POR CERTIFICADOS DE CAMBIO ,activo,4,1235,,1,1,0
12351001,Titulos Canjeables Por Certificados De Cambio ,activo,5,123510,,1,1,1
123515,TITULOS DE TESORERIA (T.E.S.) ,activo,4,1235,,1,1,0
12351501,Titulos De Tesoreria (T.E.S.) ,activo,5,123515,,1,1,1
123520,TITULOS DE PARTICIPACION ,activo,4,1235,,1,1,0
12352001,Titulos De Participacion ,activo,5,123520,,1,1,1
123525,TITULOS DE CREDITO DE FOMENTO ,activo,4,1235,,1,1,0
12352501,Titulos De Credito De Fomento ,activo,5,123525,,1,1,1
123530,TITULOS FINANCIEROS AGROINDUSTRIALES (T.F.A.) ,activo,4,1235,,1,1,0
12353001,Titulos Financieros Agroindustriales (T.F.A.) ,activo,5,123530,,1,1,1
123535,TITULOS DE AHORRO CAFETERO (T.A.C.) ,activo,4,1235,,1,1,0
12353501,Titulos De Ahorro Cafetero (T.A.C.) ,activo,5,123535,,1,1,1
123540,TITULOS DE AHORRO NACIONAL (T.A.N.) ,activo,4,1235,,1,1,0
12354001,Titulos De Ahorro Nacional (T.A.N.) ,activo,5,123540,,1,1,1
123545,TITULOS ENERGETICOS DE RENTABILIDAD CRECIENTE (T.E.R.) ,activo,4,1235,,1,1,0
12354501,Titulos Energeticos De Rentabilidad Creciente (T.E.R.) ,activo,5,123545,,1,1,1
123550,TITULOS DE AHORRO EDUCATIVO (T.A.E.) ,activo,4,1235,,1,1,0
12355001,Titulos De Ahorro Educativo (T.A.E.) ,activo,5,123550,,1,1,1
123555,TITULOS FINANCIEROS INDUSTRIALES Y COMERCIALES ,activo,4,1235,,1,1,0
12355501,Titulos Financieros Industriales Y Comerciales ,activo,5,123555,,1,1,1
123560,TESOROS ,activo,4,1235,,1,1,0
12356001,Tesoros ,activo,5,123560,,1,1,1
123565,TITULOS DE DEVOLUCION DE IMPUESTOS NACIONALES (TIDIS) ,activo,4,1235,,1,1,0
12356501,Titulos De Devolucion De Impuestos Nacionales (Tidis) ,activo,5,123565,,1,1,1
123570,TITULOS INMOBILIARIOS ,activo,4,1235,,1,1,0
12357001,Titulos Inmobiliarios ,activo,5,123570,,1,1,1
123595,OTROS ,activo,4,1235,,1,1,0
12359501,Otros ,activo,5,123595,,1,1,1
1240,ACEPTACIONES BANCARIAS O FINANCIERAS ,activo,3,12,,1,1,0
124005,BANCOS COMERCIALES ,activo,4,1240,,1,1,0
12400501,Bancos Comerciales ,activo,5,124005,,1,1,1
124010,COMPAnIAS DE FINANCIAMIENTO COMERCIAL ,activo,4,1240,,1,1,0
12401001,Companias De Financiamiento Comercial ,activo,5,124010,,1,1,1
124015,CORPORACIONES FINANCIERAS ,activo,4,1240,,1,1,0
12401501,Corporaciones Financieras ,activo,5,124015,,1,1,1
124095,OTRAS ,activo,4,1240,,1,1,0
12409501,Otras ,activo,5,124095,,1,1,1
1245,DERECHOS FIDUCIARIOS ,activo,3,12,,1,1,0
124505,FIDEICOMISOS DE INVERSION MONEDA NACIONAL ,activo,4,1245,,1,1,0
12450501,Fideicomisos De Inversion Moneda Nacional ,activo,5,124505,,1,1,1
124510,FIDEICOMISOS DE INVERSION MONEDA EXTRANJERA ,activo,4,1245,,1,1,0
12451001,Fideicomisos De Inversion Moneda Extranjera ,activo,5,124510,,1,1,1
1250,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS) ,activo,3,12,,1,1,0
125005,ACCIONES ,activo,4,1250,,1,1,0
12500501,Acciones ,activo,5,125005,,1,1,1
125010,CUOTAS O PARTES DE INTERES SOCIAL ,activo,4,1250,,1,1,0
12501001,Cuotas O Partes De Interes Social ,activo,5,125010,,1,1,1
125015,BONOS ,activo,4,1250,,1,1,0
12501501,Bonos ,activo,5,125015,,1,1,1
125020,CEDULAS ,activo,4,1250,,1,1,0
12502001,Cedulas ,activo,5,125020,,1,1,1
125025,CERTIFICADOS ,activo,4,1250,,1,1,0
12502501,Certificados ,activo,5,125025,,1,1,1
125030,PAPELES COMERCIALES ,activo,4,1250,,1,1,0
12503001,Papeles Comerciales ,activo,5,125030,,1,1,1
125035,TITULOS ,activo,4,1250,,1,1,0
12503501,Titulos ,activo,5,125035,,1,1,1
125040,ACEPTACIONES BANCARIAS O FINANCIERAS 125095 OTROS ,activo,4,1250,,1,1,0
12504001,Aceptaciones Bancarias O Financieras 125095 Otros ,activo,5,125040,,1,1,1
125099,AJUSTES POR INFLACION ,activo,4,1250,,1,1,0
12509901,Ajustes Por Inflacion ,activo,5,125099,,1,1,1
1255,OBLIGATORIAS ,activo,3,12,,1,1,0
125505,BONOS DE FINANCIAMIENTO ESPECIAL ,activo,4,1255,,1,1,0
12550501,Bonos De Financiamiento Especial ,activo,5,125505,,1,1,1
125510,BONOS DE FINANCIAMIENTO PRESUPUESTAL ,activo,4,1255,,1,1,0
12551001,Bonos De Financiamiento Presupuestal ,activo,5,125510,,1,1,1
125515,BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (B.D.S.I.) ,activo,4,1255,,1,1,0
12551501,Bonos Para Desarrollo Social Y Seguridad Interna (B.D.S.I.) ,activo,5,125515,,1,1,1
125595,OTRAS ,activo,4,1255,,1,1,0
12559501,Otras ,activo,5,125595,,1,1,1
1260,CUENTAS EN PARTICIPACION ,activo,3,12,,1,1,0
126099,AJUSTES POR INFLACION ,activo,4,1260,,1,1,0
12609901,Ajustes Por Inflacion ,activo,5,126099,,1,1,1
1295,OTRAS INVERSIONES ,activo,3,12,,1,1,0
129505,APORTES EN COOPERATIVAS ,activo,4,1295,,1,1,0
12950501,Aportes En Cooperativas ,activo,5,129505,,1,1,1
129510,DERECHOS EN CLUBES SOCIALES ,activo,4,1295,,1,1,0
12951001,Derechos En Clubes Sociales ,activo,5,129510,,1,1,1
129515,ACCIONES O DERECHOS EN CLUBES DEPORTIVOS ,activo,4,1295,,1,1,0
12951501,Acciones O Derechos En Clubes Deportivos ,activo,5,129515,,1,1,1
129520,BONOS EN COLEGIOS ,activo,4,1295,,1,1,0
12952001,Bonos En Colegios ,activo,5,129520,,1,1,1
129595,DIVERSAS ,activo,4,1295,,1,1,0
12959501,Diversas ,activo,5,129595,,1,1,1
129599,AJUSTES POR INFLACION ,activo,4,1295,,1,1,0
12959901,Ajustes Por Inflacion ,activo,5,129599,,1,1,1
1299,PROVISIONES ,activo,3,12,,1,1,0
129905,ACCIONES ,activo,4,1299,,1,1,0
12990501,Acciones ,activo,5,129905,,1,1,1
129910,CUOTAS O PARTES DE INTERES SOCIAL ,activo,4,1299,,1,1,0
12991001,Cuotas O Partes De Interes Social ,activo,5,129910,,1,1,1
129915,BONOS ,activo,4,1299,,1,1,0
12991501,Bonos ,activo,5,129915,,1,1,1
129920,CEDULAS ,activo,4,1299,,1,1,0
12992001,Cedulas ,activo,5,129920,,1,1,1
129925,CERTIFICADOS ,activo,4,1299,,1,1,0
12992501,Certificados ,activo,5,129925,,1,1,1
129930,PAPELES COMERCIALES ,activo,4,1299,,1,1,0
12993001,Papeles Comerciales ,activo,5,129930,,1,1,1
129935,TITULOS ,activo,4,1299,,1,1,0
12993501,Titulos ,activo,5,129935,,1,1,1
129940,ACEPTACIONES BANCARIAS O FINANCIERAS ,activo,4,1299,,1,1,0
12994001,Aceptaciones Bancarias O Financieras ,activo,5,129940,,1,1,1
129945,DERECHOS FIDUCIARIOS ,activo,4,1299,,1,1,0
12994501,Derechos Fiduciarios ,activo,5,129945,,1,1,1
129950,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS ,activo,4,1299,,1,1,0
12995001,Derechos De Recompra De Inversiones Negociadas ,activo,5,129950,,1,1,1
129955,OBLIGATORIAS ,activo,4,1299,,1,1,0
12995501,Obligatorias ,activo,5,129955,,1,1,1
129960,CUENTAS EN PARTICIPACION ,activo,4,1299,,1,1,0
12996001,Cuentas En Participacion ,activo,5,129960,,1,1,1
129995,OTRAS INVERSIONES ,activo,4,1299,,1,1,0
12999501,Otras Inversiones ,activo,5,129995,,1,1,1
13,DEUDORES ,activo,2,1,Cuentas por cobrar a clientes y terceros. Nat. Debito Forma de Uso. Registra valores a favor de la empresa por creditos otorgados.,1,1,0
1305,CLIENTES ,activo,3,13,Cuentas por cobrar a clientes. Nat. Debito Forma de Uso. Registra facturas pendientes de cobro.,1,1,0
130505,NACIONALES ,activo,4,1305,,1,1,0
13050501,Nacionales ,activo,5,130505,,1,1,1
130510,DEL EXTERIOR ,activo,4,1305,,1,1,0
13051001,Del Exterior ,activo,5,130510,,1,1,1
130515,DEUDORES DEL SISTEMA ,activo,4,1305,,1,1,0
13051501,Deudores Del Sistema ,activo,5,130515,,1,1,1
1310,CUENTAS CORRIENTES COMERCIALES ,activo,3,13,Valores a cobrar a empresas relacionadas. Nat. Debito Forma de Uso. Controla prestamos o creditos otorgados a vinculados.,1,1,0
131005,CASA MATRIZ ,activo,4,1310,,1,1,0
13100501,Casa Matriz ,activo,5,131005,,1,1,1
131010,COMPAnIAS VINCULADAS ,activo,4,1310,,1,1,0
13101001,Companias Vinculadas ,activo,5,131010,,1,1,1
131015,ACCIONISTAS O SOCIOS ,activo,4,1310,,1,1,0
13101501,Accionistas O Socios ,activo,5,131015,,1,1,1
131020,PARTICULARES ,activo,4,1310,,1,1,0
13102001,Particulares ,activo,5,131020,,1,1,1
131095,OTRAS ,activo,4,1310,,1,1,0
13109501,Otras ,activo,5,131095,,1,1,1
1315,CUENTAS POR COBRAR A CASA MATRIZ ,activo,3,13,,1,1,0
131505,VENTAS ,activo,4,1315,,1,1,0
13150501,Ventas ,activo,5,131505,,1,1,1
131510,PAGOS A NOMBRE DE CASA MATRIZ ,activo,4,1315,,1,1,0
13151001,Pagos A Nombre De Casa Matriz ,activo,5,131510,,1,1,1
131515,VALORES RECIBIDOS POR CASA MATRIZ ,activo,4,1315,,1,1,0
13151501,Valores Recibidos Por Casa Matriz ,activo,5,131515,,1,1,1
131520,PRESTAMOS ,activo,4,1315,,1,1,0
13152001,Prestamos ,activo,5,131520,,1,1,1
1320,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS ,activo,3,13,,1,1,0
132005,FILIALES ,activo,4,1320,,1,1,0
13200501,Filiales ,activo,5,132005,,1,1,1
132010,SUBSIDIARIAS ,activo,4,1320,,1,1,0
13201001,Subsidiarias ,activo,5,132010,,1,1,1
132015,SUCURSALES ,activo,4,1320,,1,1,0
13201501,Sucursales ,activo,5,132015,,1,1,1
1325,CUENTA S POR COBRAR A SOCIOS Y ACCIONISTAS ,activo,3,13,,1,1,0
132505,A SOCIOS ,activo,4,1325,,1,1,0
13250501,A Socios ,activo,5,132505,,1,1,1
132510,A ACCIONISTAS ,activo,4,1325,,1,1,0
13251001,A Accionistas ,activo,5,132510,,1,1,1
1328,APORTES POR COBRAR ,activo,3,13,,1,1,0
1330,ANTICIPOS Y AVANCES ,activo,3,13,,1,1,0
133005,A PROVEEDORES ,activo,4,1330,,1,1,0
13300501,A Proveedores ,activo,5,133005,,1,1,1
133010,A CONTRATISTAS ,activo,4,1330,,1,1,0
13301001,A Contratistas ,activo,5,133010,,1,1,1
133015,A TRABAJADORES ,activo,4,1330,,1,1,0
13301501,A Trabajadores ,activo,5,133015,,1,1,1
133020,A AGENTES ,activo,4,1330,,1,1,0
13302001,A Agentes ,activo,5,133020,,1,1,1
133025,A CONCESIONARIOS ,activo,4,1330,,1,1,0
13302501,A Concesionarios ,activo,5,133025,,1,1,1
133030,DE ADJUDICACIONES ,activo,4,1330,,1,1,0
13303001,De Adjudicaciones ,activo,5,133030,,1,1,1
133095,OTROS ,activo,4,1330,,1,1,0
13309501,Otros ,activo,5,133095,,1,1,1
1332,CUENTAS DE OPERACION CONJUNTA ,activo,3,13,,1,1,0
1335,DEPOSITOS ,activo,3,13,,1,1,0
133505,PARA IMPORTACIONES ,activo,4,1335,,1,1,0
13350501,Para Importaciones ,activo,5,133505,,1,1,1
133510,PARA SERVICIOS ,activo,4,1335,,1,1,0
13351001,Para Servicios ,activo,5,133510,,1,1,1
133515,PARA CONTRATOS ,activo,4,1335,,1,1,0
13351501,Para Contratos ,activo,5,133515,,1,1,1
133520,PARA RESPONSABILIDADES ,activo,4,1335,,1,1,0
13352001,Para Responsabilidades ,activo,5,133520,,1,1,1
133525,PARA JUICIOS EJECUTIVOS ,activo,4,1335,,1,1,0
13352501,Para Juicios Ejecutivos ,activo,5,133525,,1,1,1
133530,PARA ADQUISICION DE ACCIONES- CUOTAS O DERECHOS SOCIALES ,activo,4,1335,,1,1,0
13353001,Para Adquisicion De Acciones- Cuotas O Derechos Sociales ,activo,5,133530,,1,1,1
133535,EN GARANTIA ,activo,4,1335,,1,1,0
13353501,En Garantia ,activo,5,133535,,1,1,1
133595,OTROS ,activo,4,1335,,1,1,0
13359501,Otros ,activo,5,133595,,1,1,1
1340,PROMESAS DE COMPRA VENTA ,activo,3,13,,1,1,0
134005,DE BIENES RAICES ,activo,4,1340,,1,1,0
13400501,De Bienes Raices ,activo,5,134005,,1,1,1
134010,DE MAQUINARIA Y EQUIPO ,activo,4,1340,,1,1,0
13401001,De Maquinaria Y Equipo ,activo,5,134010,,1,1,1
134015,DE FLOTA Y EQUIPO DE TRANSPORTE ,activo,4,1340,,1,1,0
13401501,De Flota Y Equipo De Transporte ,activo,5,134015,,1,1,1
134020,DE FLOTA Y EQUIPO AEREO ,activo,4,1340,,1,1,0
13402001,De Flota Y Equipo Aereo ,activo,5,134020,,1,1,1
134025,DE FLOTA Y EQUIPO FERREO ,activo,4,1340,,1,1,0
13402501,De Flota Y Equipo Ferreo ,activo,5,134025,,1,1,1
134030,DE FLOTA Y EQUIPO FLUVIAL Y-O MARITIMO ,activo,4,1340,,1,1,0
13403001,De Flota Y Equipo Fluvial Y-O Maritimo ,activo,5,134030,,1,1,1
134035,DE SEMOVIENTES ,activo,4,1340,,1,1,0
13403501,De Semovientes ,activo,5,134035,,1,1,1
134095,DE OTROS BIENES ,activo,4,1340,,1,1,0
13409501,De Otros Bienes ,activo,5,134095,,1,1,1
1345,INGRESOS POR COBRAR ,activo,3,13,,1,1,0
134505,DIVIDENDOS Y-O PARTICIPACIONES ,activo,4,1345,,1,1,0
13450501,Dividendos Y-O Participaciones ,activo,5,134505,,1,1,1
134510,INTERESES ,activo,4,1345,,1,1,0
13451001,Intereses ,activo,5,134510,,1,1,1
134515,COMISIONES ,activo,4,1345,,1,1,0
13451501,Comisiones ,activo,5,134515,,1,1,1
134520,HONORARIOS ,activo,4,1345,,1,1,0
13452001,Honorarios ,activo,5,134520,,1,1,1
134525,SERVICIOS ,activo,4,1345,,1,1,0
13452501,Servicios ,activo,5,134525,,1,1,1
134530,ARRENDAMIENTOS ,activo,4,1345,,1,1,0
13453001,Arrendamientos ,activo,5,134530,,1,1,1
134535,CERT POR COBRAR ,activo,4,1345,,1,1,0
13453501,Cert Por Cobrar ,activo,5,134535,,1,1,1
134595,OTROS ,activo,4,1345,,1,1,0
13459501,Otros ,activo,5,134595,,1,1,1
1350,RETENCION SOBRE CONTRATOS ,activo,3,13,,1,1,0
135005,DE CONSTRUCCION ,activo,4,1350,,1,1,0
13500501,De Construccion ,activo,5,135005,,1,1,1
135010,DE PRESTACION DE SERVICIOS ,activo,4,1350,,1,1,0
13501001,De Prestacion De Servicios ,activo,5,135010,,1,1,1
135095,OTROS ,activo,4,1350,,1,1,0
13509501,Otros ,activo,5,135095,,1,1,1
1355,ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR ,activo,3,13,,1,1,0
135505,ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS ,activo,4,1355,,1,1,0
